Domain authority,SM_Ranking,Organic Trafic,Organic Keyword number,Paid Trafic,Paid keywords,Backlinks,Referring Domains,Pages/Visits,Average visit duration,Bounce rate
71,122,3.6M,807.4K,337,4,76.2M,18.2K,3.98,13:45,40.62%
36,1.6K,226.8K,150.1K,60,3,712.8K,7K,1.75,3:39,74.03%
62,1K,2.7M,174.5K,143.4K,1.9K,14.4M,17K,2.86,4:22,57.17%
74,89,4.7M,324.2K,210K,1.6K,20.9M,6.5K,2.13,9:28,65.02%
70,184,2.6M,628.3K,927,15,3.2M,20.5K,2.87,15:20,64.29%
67,77,5.4M,640.2K,65.4K,1.1K,2.1M,12.7K,2.18,13:08,62.12%
93,385,45M,5M,475.7K,2.1K,128.6M,172.8K,2.49,6:37,53.15%
65,51,7.5M,439.5K,1.6M,18.8K,289.6K,3.7K,6.06,10:26,37.21%
45,3.1K,99.9K,5.5K,1.4K,63,22.4M,5.4K,4.56,18:17,23.88%
43,4.6K,62.2K,32.7K,4.5K,57,3.7M,3.9K,1.92,2:16,69.89%
89,6K,20.1M,17.2M,60.6K,622,454.6M,560.7K,1.39,6:04,79.09%
39,4.2K,69.2K,64.3K,31.6K,720,4.5M,2.1K,2.28,4:51,57.81%
69,3.9K,4.5M,2.5M,66.4K,5.8K,87.5M,55.1K,1.51,7:48,75.53%
41,4.9K,58.5K,75.6K,10.3K,224,485.5K,5.3K,1.97,22:50,68.70%
41,4.5K,65.6K,38.3K,485,2,998.2K,4.9K,2.26,7:48,65.05%
49,3.7K,350K,216.3K,9,1,13.4M,8.4K,2.19,9:32,56.71%
75,5.4K,7.9M,1.6M,79.4K,981,3M,34.3K,8.02,14:03,27.47%
62,4.4K,1.7M,582.9K,5.3K,348,9.3M,38.5K,1.69,5:10,74.39%
69,4.2K,5.6M,315.2K,222.8K,7.8K,1.4M,25.4K,2.94,7:45,49.97%
69,6.1K,2.6M,566.4K,50.6K,3.2K,7.3M,58K,2.84,11:10,48.89%
85,5.5K,11.6M,10.1M,36.1K,3K,454.5M,540.5K,1.77,10:22,74.59%
38,4.9K,58.8K,11.5K,2.3K,6,97.9K,1.4K,2,5:23,58.52%
39,5.4K,52.6K,46.8K,2.8K,82,2.9M,8.3K,1.52,10:31,79.87%
67,5.7K,4.4M,241.5K,120.9K,2.1K,1.7M,22.8K,4.04,6:45,39.50%
35,3.9K,75.1K,28.6K,2.5K,49,876.2K,4.3K,2.82,5:52,57.52%
93,5.5K,26.9M,11.2M,0,1,91.9M,177.2K,2.42,11:39,67.10%
87,5.5K,22M,7.8M,0,0,30.7M,213.8K,1.6,6:44,75.71%
69,5.3K,2.2M,777.2K,1,1,7M,25.1K,1.4,11:51,82.21%
